Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),af_start_trial (Unique users),af_start_trial (Event counter),af_start_trial (Sales in USD),ltv_20190513 (Unique users),ltv_20190513 (Event counter),ltv_20190513 (Sales in USD),new_workout_saved (Unique users),new_workout_saved (Event counter),new_workout_saved (Sales in USD)
2019-05-04,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,214,0,428,0,0,0,N/A,0,0,0,1,2,0,10,11,0,6,6,186,642,642,0
2019-05-03,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,94,0,376,0,0,0,N/A,0,0,0,4,4,0,0,0,0,2,2,62,188,188,0
2019-05-02,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,113,0,565,0,0,0,N/A,0,0,0,5,5,0,0,0,0,3,3,93,226,226,0
2019-05-02,None,Facebook Ads,Other ads for ANDROID,0,0,0,30,0,90,0,0,0,N/A,0,0,0,1,1,0,0,0,0,1,1,31,60,60,0
2019-05-01,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,146,0,584,0,0,0,N/A,0,0,0,7,9,0,0,0,0,4,4,124,438,438,0
2019-05-01,None,Facebook Ads,Other ads for ANDROID,0,0,0,207,0,1035,0,0,0,N/A,0,0,0,10,12,0,0,0,0,6,6,186,621,621,0
2019-04-30,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,34,0,136,0,0,0,N/A,0,0,0,1,1,0,0,0,0,1,1,31,34,34,0
2019-04-30,None,Facebook Ads,Other ads for ANDROID,0,0,0,111,0,222,0,0,0,N/A,0,0,0,5,5,0,0,0,0,3,3,93,333,333,0
2019-04-29,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,191,0,764,0,0,0,N/A,0,0,0,9,10,0,0,0,0,5,5,155,191,191,0
2019-04-29,None,Facebook Ads,Other ads for ANDROID,0,0,0,37,0,148,0,0,0,N/A,0,0,0,1,1,0,0,0,0,1,1,31,111,111,0
2019-04-29,None,pinterest_int,Android - ads,0,0,0,242,0,484,0,0,0,N/A,0,0,0,9,9,0,0,0,0,5,5,155,242,242,0
2019-04-30,None,pinterest_int,Android - ads,0,0,0,327,0,1308,0,0,0,N/A,0,0,0,13,15,0,0,0,0,7,7,217,327,327,0
2019-05-01,None,pinterest_int,Android - ads,0,0,0,239,0,1195,0,0,0,N/A,0,0,0,9,9,0,0,0,0,5,5,155,717,717,0
2019-05-02,None,pinterest_int,Android - ads,0,0,0,399,0,1197,0,0,0,N/A,0,0,0,15,16,0,0,0,0,8,8,248,798,798,0
2019-05-03,None,pinterest_int,Android - ads,0,0,0,100,0,200,0,0,0,N/A,0,0,0,4,4,0,0,0,0,2,2,62,200,200,0
2019-05-04,None,pinterest_int,Android - ads,0,0,0,138,0,690,0,0,0,N/A,0,0,0,5,6,0,0,0,0,3,3,93,276,276,0
2019-05-05,None,pinterest_int,Android - ads,0,0,0,154,0,462,0,0,0,N/A,0,0,0,0,0,0,6,6,0,3,3,93,154,154,0
2019-05-06,None,pinterest_int,Android - ads,0,0,0,140,0,420,0,0,0,N/A,0,0,0,0,0,0,5,5,0,3,3,93,140,140,0
2019-05-07,None,pinterest_int,Android - ads,0,0,0,132,0,264,0,0,0,N/A,0,0,0,0,0,0,5,5,0,3,3,93,132,132,0
2019-05-08,None,pinterest_int,Android - ads,0,0,0,154,0,308,0,0,0,N/A,0,0,0,0,0,0,6,6,0,3,3,93,308,308,0
2019-05-09,None,pinterest_int,Android - ads,0,0,0,161,0,322,0,0,0,N/A,0,0,0,0,0,0,6,6,0,3,3,93,483,483,0
2019-05-10,None,pinterest_int,Android - ads,0,0,0,381,0,1524,0,0,0,N/A,0,0,0,0,0,0,15,18,0,8,8,248,381,381,0
2019-05-11,None,pinterest_int,Android - ads,0,0,0,136,0,408,0,0,0,N/A,0,0,0,0,0,0,5,5,0,3,3,93,408,408,0
2019-05-12,None,pinterest_int,Android - ads,0,0,0,363,0,726,0,0,0,N/A,0,0,0,0,0,0,14,14,0,8,8,248,363,363,0
2019-04-29,None,Organic,None,0,0,0,101,0,303,0,0,0,N/A,0,0,0,4,5,0,0,0,0,2,2,62,202,202,0
2019-04-30,None,Organic,None,0,0,0,38,0,76,0,0,0,N/A,0,0,0,1,1,0,0,0,0,1,1,31,38,38,0
2019-05-01,None,Organic,None,0,0,0,75,0,375,0,0,0,N/A,0,0,0,3,3,0,0,0,0,2,2,62,150,150,0
2019-05-02,None,Organic,None,0,0,0,99,0,495,0,0,0,N/A,0,0,0,3,4,0,0,0,0,2,2,62,99,99,0
2019-05-03,None,Organic,None,0,0,0,43,0,172,0,0,0,N/A,0,0,0,1,1,0,0,0,0,1,1,31,129,129,0
2019-05-04,None,Organic,None,0,0,0,52,0,104,0,0,0,N/A,0,0,0,2,2,0,0,0,0,1,1,31,104,104,0
2019-05-05,None,Organic,None,0,0,0,30,0,150,0,0,0,N/A,0,0,0,1,2,0,0,0,0,1,1,31,90,90,0
2019-05-06,None,Organic,None,0,0,0,75,0,300,0,0,0,N/A,0,0,0,0,0,0,3,3,0,2,2,62,150,150,0
2019-05-07,None,Organic,None,0,0,0,44,0,220,0,0,0,N/A,0,0,0,0,0,0,1,1,0,1,1,31,44,44,0
2019-05-08,None,Organic,None,0,0,0,73,0,219,0,0,0,N/A,0,0,0,0,0,0,2,2,0,1,1,31,219,219,0
2019-05-09,None,Organic,None,0,0,0,46,0,184,0,0,0,N/A,0,0,0,0,0,0,1,1,0,1,1,31,138,138,0
2019-05-10,None,Organic,None,0,0,0,61,0,305,0,0,0,N/A,0,0,0,0,0,0,2,2,0,1,1,31,122,122,0
2019-05-11,None,Organic,None,0,0,0,32,0,96,0,0,0,N/A,0,0,0,0,0,0,1,1,0,1,1,31,32,32,0
2019-05-12,None,Organic,None,0,0,0,68,0,272,0,0,0,N/A,0,0,0,0,0,0,2,3,0,1,1,31,136,136,0
2019-04-29,None,Instagram_account,Insta_bio_link,0,0,0,1,0,5,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-04-30,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-02,None,Instagram_account,Insta_bio_link,0,0,0,2,0,6,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2019-05-03,None,Instagram_account,Insta_bio_link,0,0,0,2,0,10,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-05-04,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-05,None,Instagram_account,Insta_bio_link,0,0,0,1,0,3,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2019-05-06,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-07,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-08,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-10,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-11,None,Instagram_account,Insta_bio_link,0,0,0,1,0,3,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-05-12,None,Instagram_account,Insta_bio_link,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-29,None,Website,Website download button,0,0,0,2,0,10,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-04-30,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-02,None,Website,Website download button,0,0,0,1,0,5,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-05-03,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-04,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-05,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-06,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-07,None,Website,Website download button,0,0,0,1,0,3,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-05-08,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-10,None,Website,Website download button,0,0,0,1,0,5,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-05-11,None,Website,Website download button,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,None,Website,Website download button,0,0,0,3,0,15,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0
