date,device_type,advertiser,campaign_type,spend,impressions,impressions_unique,clicks,clicks_unique,views,installs,sessions,new_workout_saved_unique,af_purchase_unique,af_purchase_all,af_start_trial_unique,af_start_trial_all,trial_starts_unique,trial_starts_all,ltv_subs_unique,ltv_subs_all,ltv_subs_revenue
2019-05-02,IOS,Apple Search Ads,Basic,0.0,,,,,,42,210,126,2,2,0,0,2,2,1,1,31.23
2019-05-02,IOS,Facebook Ads,Other,212.49,50000.0,45000.0,575.0,500.0,,186,372,372,11,11,0,0,11,11,5,5,156.15
2019-05-02,IOS,Facebook Ads,Evergreen,101.64,30000.0,28000.0,350.0,300.0,,83,166,166,9,9,0,0,9,9,5,5,156.15
2019-05-03,IOS,pinterest_int,Other,550.0,130000.0,130000.0,2500.0,2500.0,,543,1947,1342,26,28,0,0,26,28,13,14,437.22
2019-05-03,IOS,Facebook Ads,Other,28.57,8000.0,7000.0,100.0,80.0,,23,69,23,1,1,0,0,1,1,0,0,0.0
2019-05-03,IOS,Facebook Ads,Evergreen,205.03,50000.0,45000.0,575.0,500.0,,191,955,382,20,22,0,0,20,22,10,11,343.53
2019-05-03,IOS,Apple Search Ads,Advanced,43.03,,,,,,33,84,57,0,0,0,0,0,0,0,0,0.0
2019-05-03,IOS,Apple Search Ads,Basic,0.0,,,,,,50,250,50,1,1,0,0,1,1,0,0,0.0
2019-05-03,IOS,Organic,Other,,,,,,,368,736,736,12,12,0,0,12,12,6,6,187.38
2019-05-03,IOS,googleadwords_int,Other,300.0,80000.0,,2800.0,,5000.0,133,266,133,5,5,0,0,5,5,2,2,62.46
2019-05-04,IOS,Facebook Ads,Other,119.36,35000.0,32000.0,400.0,350.0,,113,565,339,7,7,0,0,7,7,3,3,93.69
2019-05-04,IOS,googleadwords_int,Other,100.0,25000.0,,800.0,,1500.0,26,78,52,1,1,0,0,1,1,0,0,0.0
2019-05-04,IOS,Facebook Ads,Evergreen,28.37,8000.0,7000.0,100.0,80.0,,24,48,48,2,2,0,0,2,2,1,1,31.23
2019-05-04,IOS,Apple Search Ads,Advanced,29.240000000000002,,,,,,24,107,52,1,1,0,0,1,1,0,0,0.0
2019-05-04,IOS,Apple Search Ads,Basic,0.0,,,,,,40,200,40,2,2,0,0,2,2,1,1,31.23
2019-05-04,IOS,Organic,Other,,,,,,,183,549,549,6,7,0,0,6,7,3,3,93.69
2019-05-04,IOS,pinterest_int,Other,300.0,57000.0,57000.0,1350.0,1350.0,,375,1756,750,21,21,0,0,21,21,11,11,343.53
2019-05-05,IOS,Apple Search Ads,Advanced,55.19,,,,,,40,168,60,0,0,1,1,1,1,0,0,0.0
2019-05-05,IOS,googleadwords_int,Other,200.0,65000.0,,2200.0,,4000.0,78,312,156,0,0,2,2,2,2,1,1,31.23
2019-05-05,IOS,Organic,Other,,,,,,,247,1235,494,1,1,8,9,9,10,4,4,124.92
2019-05-05,IOS,Apple Search Ads,Basic,0.0,,,,,,50,100,100,1,1,1,1,2,2,1,1,31.23
2019-05-05,IOS,Facebook Ads,Evergreen,108.04,30000.0,28000.0,350.0,300.0,,104,416,208,2,2,8,8,10,10,5,5,156.15
2019-05-05,IOS,pinterest_int,Other,400.0,95000.0,95000.0,2000.0,2000.0,,561,1398,1545,3,4,28,30,31,34,16,16,499.68
2019-05-06,IOS,Apple Search Ads,Basic,0.0,,,,,,46,92,46,0,0,2,2,2,2,1,1,31.23
2019-05-06,IOS,pinterest_int,Other,350.0,62000.0,62000.0,1400.0,1400.0,,369,1845,1107,0,0,16,17,16,17,9,9,281.07
2019-05-06,IOS,Apple Search Ads,Advanced,48.45,,,,,,34,135,69,0,0,1,1,1,1,0,0,0.0
2019-05-06,IOS,googleadwords_int,Other,300.0,80000.0,,2800.0,,5000.0,80,320,240,0,0,3,3,3,3,1,1,31.23
2019-05-06,IOS,Facebook Ads,Evergreen,32.67,8000.0,7000.0,100.0,80.0,,29,116,29,0,0,3,3,3,3,1,1,31.23
2019-05-06,IOS,Organic,Other,,,,,,,170,680,340,0,0,5,5,5,5,2,2,62.46
2019-05-07,IOS,Apple Search Ads,Advanced,40.629999999999995,,,,,,27,72,51,0,0,0,0,0,0,0,0,0.0
2019-05-07,IOS,Apple Search Ads,Basic,0.0,,,,,,42,168,126,0,0,2,3,2,3,1,1,31.23
2019-05-07,IOS,googleadwords_int,Other,100.0,25000.0,,800.0,,1500.0,37,148,37,0,0,1,1,1,1,0,0,0.0
2019-05-07,IOS,Organic,Other,,,,,,,162,648,324,0,0,6,6,6,6,3,3,93.69
2019-05-07,IOS,Facebook Ads,Evergreen,125.85,35000.0,32000.0,400.0,350.0,,98,196,98,0,0,9,9,9,9,5,5,156.15
2019-05-07,IOS,pinterest_int,Other,220.0,35000.0,35000.0,1100.0,1100.0,,294,1036,448,0,0,14,15,14,15,7,8,249.84
2019-05-08,IOS,googleadwords_int,Other,0.0,0.0,,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019-05-08,IOS,Facebook Ads,Evergreen,29.69,8000.0,7000.0,100.0,80.0,,28,140,84,0,0,2,2,2,2,1,1,31.23
2019-05-08,IOS,Apple Search Ads,Advanced,66.24000000000001,,,,,,55,118,112,0,0,2,2,2,2,1,1,31.23
2019-05-08,IOS,pinterest_int,Other,250.0,45000.0,45000.0,1300.0,1300.0,,338,1690,1014,0,0,18,18,18,18,10,10,312.3
2019-05-08,IOS,Facebook Ads,Other,329.62,85000.0,77000.0,975.0,850.0,,329,1417,658,0,0,24,26,24,26,13,13,405.99
2019-05-08,IOS,Organic,Other,,,,,,,202,1010,202,0,0,8,8,8,8,4,4,124.92
2019-05-08,IOS,Apple Search Ads,Basic,0.0,,,,,,61,305,61,0,0,3,3,3,3,1,1,31.23
2019-05-09,IOS,Apple Search Ads,Basic,0.0,,,,,,42,210,84,0,0,2,2,2,2,1,1,31.23
2019-05-09,IOS,Organic,Other,,,,,,,142,710,284,0,0,6,6,6,6,3,3,93.69
2019-05-09,IOS,Apple Search Ads,Advanced,55.59,,,,,,46,207,91,0,0,3,3,3,3,1,1,31.23
2019-05-09,IOS,googleadwords_int,Other,0.0,0.0,,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019-05-09,IOS,Facebook Ads,Evergreen,109.03,30000.0,28000.0,350.0,300.0,,78,390,156,0,0,8,8,8,8,4,4,124.92
2019-05-09,IOS,pinterest_int,Other,260.0,50000.0,50000.0,1400.0,1400.0,,264,966,792,0,0,15,15,15,15,8,8,249.84
2019-05-10,IOS,Apple Search Ads,Advanced,27.07,,,,,,21,93,28,0,0,0,0,0,0,0,0,0.0
2019-05-10,IOS,Apple Search Ads,Basic,0.0,,,,,,42,84,126,0,0,2,2,2,2,1,1,31.23
2019-05-10,IOS,Organic,Other,,,,,,,168,336,504,0,0,5,5,5,5,2,2,62.46
2019-05-10,IOS,Facebook Ads,Evergreen,33.32,8000.0,7000.0,100.0,80.0,,25,75,25,0,0,2,2,2,2,1,1,31.23
2019-05-10,IOS,googleadwords_int,Other,0.0,0.0,,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019-05-10,IOS,pinterest_int,Other,500.0,100000.0,100000.0,2000.0,2000.0,,466,2094,466,0,0,28,29,28,29,15,16,499.68
2019-05-11,IOS,googleadwords_int,Other,0.0,0.0,,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019-05-11,IOS,Facebook Ads,Evergreen,112.44,35000.0,32000.0,400.0,350.0,,106,212,106,0,0,12,12,12,12,7,7,218.61
2019-05-11,IOS,Facebook Ads,Other,105.3,30000.0,28000.0,350.0,300.0,,78,234,78,0,0,4,6,4,6,2,2,62.46
2019-05-11,IOS,pinterest_int,Other,240.0,40000.0,40000.0,1200.0,1200.0,,278,1112,428,0,0,14,14,14,14,7,7,218.61
2019-05-11,IOS,Organic,Other,,,,,,,147,588,441,0,0,4,4,4,4,2,2,62.46
2019-05-11,IOS,Apple Search Ads,Basic,0.0,,,,,,54,216,54,0,0,2,2,2,2,1,1,31.23
2019-05-11,IOS,Apple Search Ads,Advanced,24.38,,,,,,20,68,46,0,0,0,0,0,0,0,0,0.0
2019-05-12,IOS,pinterest_int,Other,260.0,50000.0,50000.0,1400.0,1400.0,,317,1268,492,0,0,19,19,19,19,10,11,343.53
2019-05-12,IOS,Facebook Ads,Evergreen,219.2,50000.0,45000.0,575.0,500.0,,214,642,642,0,0,22,23,22,23,13,13,405.99
2019-05-12,IOS,Apple Search Ads,Basic,0.0,,,,,,65,195,195,0,0,2,2,2,2,1,1,31.23
2019-05-12,IOS,Apple Search Ads,Advanced,31.63,,,,,,26,91,52,0,0,0,0,0,0,0,0,0.0
2019-05-12,IOS,googleadwords_int,Other,230.0,55050.0,,2200.0,,2500.0,79,158,79,0,0,3,3,3,3,1,1,31.23
2019-05-12,IOS,Organic,Other,,,,,,,180,360,360,0,0,7,7,7,7,3,3,93.69
