City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,20,CL,1553755946,86,-53.16,-70.91,33.8,4.7
port alfred,20,ZA,1553756315,76,-33.59,26.89,69.65,11.77
caravelas,64,BR,1553756316,100,-17.73,-39.27,80.9,19.26
saskylakh,0,RU,1553755782,87,71.97,114.09,23.12,6.4
geraldton,90,CA,1553752800,95,49.72,-86.95,37.4,17.22
pisco,0,PE,1553752800,78,-13.71,-76.2,71.6,3.36
wilmington,1,US,1553756254,74,39.75,-75.55,34.0,4.7
kieta,36,PG,1553756317,92,-6.22,155.63,82.34,4.05
hoddesdon,90,GB,1553756310,81,51.76,-0.01,48.2,3.36
port blair,20,IN,1553756148,99,11.67,92.75,85.58,6.96
kodiak,90,US,1553756303,65,39.95,-94.76,60.8,9.17
viedma,32,AR,1553756318,49,-40.81,-62.99,63.98,15.46
salalah,0,OM,1553752200,54,17.01,54.1,84.2,5.82
bethel,90,US,1553752560,86,60.79,-161.76,33.8,3.36
vallenar,0,CL,1553756320,73,-28.58,-70.76,50.57,1.14
paciran,24,ID,1553756320,100,-6.9,112.33,87.65,2.71
puksoozero,56,RU,1553756321,85,62.59,40.61,26.54,6.85
oussouye,0,SN,1553752800,83,12.49,-16.54,69.8,6.93
kaitangata,0,NZ,1553756298,71,-46.28,169.85,57.99,7.0
high rock,0,BS,1553756322,100,26.63,-78.28,68.12,8.08
kupino,0,RU,1553756322,100,54.36,77.31,33.2,4.16
gobabis,100,NA,1553756322,49,-22.45,18.97,70.73,11.43
avarua,48,CK,1553754600,88,-21.21,-159.78,80.6,2.24
santa rosa de viterbo,0,BR,1553753773,83,-21.49,-47.37,72.0,8.05
dzilam gonzalez,0,MX,1553756323,72,21.28,-88.93,67.94,5.06
bambous virieux,75,MU,1553756045,74,-20.34,57.76,87.01,9.17
kahului,20,US,1553756036,64,20.89,-156.47,75.2,3.36
severo-kurilsk,92,RU,1553756324,96,50.68,156.12,31.31,28.43
adre,12,TD,1553756324,19,13.47,22.2,73.07,14.23
hofn,92,IS,1553756156,100,64.25,-15.21,36.35,9.53
jiuquan,64,CN,1553756325,77,39.73,98.49,40.85,5.17
astana,75,KZ,1553754600,74,51.13,71.43,37.4,20.13
hermanus,36,ZA,1553755615,86,-34.42,19.24,66.0,3.0
alta gracia,75,AR,1553754621,93,-31.66,-64.43,63.0,3.36
sola,75,NO,1553756287,100,58.89,5.65,45.0,9.17
norman wells,90,CA,1553752800,86,65.28,-126.83,37.4,13.87
hilo,90,US,1553756309,88,19.71,-155.08,73.99,13.87
lebu,40,ET,1553756400,60,8.96,38.73,68.0,13.87
cape town,40,ZA,1553755991,93,-33.93,18.42,64.0,5.82
nanortalik,0,GL,1553756328,100,60.14,-45.24,24.65,35.37
vaini,0,IN,1553752800,35,15.34,74.49,89.6,3.36
dingle,20,PH,1553755787,78,11.0,122.67,83.78,10.87
san patricio,0,PY,1553756329,75,-26.98,-56.83,67.85,5.61
zarubino,48,RU,1553756329,62,42.65,131.06,40.58,10.76
varzea da palma,64,BR,1553756329,79,-17.6,-44.73,73.52,4.05
gikongoro,12,RW,1553756330,90,-2.46,29.57,63.98,3.15
puerto ayora,0,EC,1553755791,100,-0.74,-90.35,77.75,7.52
olavarria,0,AR,1553756330,80,-36.89,-60.32,55.07,11.99
marzuq,0,YE,1553756330,43,14.4,46.47,74.69,3.6
laguna,12,MX,1553756331,66,27.52,-110.01,59.84,1.92
bharatpur,0,NP,1553756308,39,27.68,84.43,84.95,4.38
avera,1,US,1553756214,65,33.19,-82.53,48.2,4.7
igrim,20,RU,1553756331,72,63.19,64.42,37.7,5.73
torbay,5,CA,1553755599,78,47.66,-52.73,16.0,4.7
chapais,90,CA,1553752800,50,49.78,-74.86,33.8,17.22
santiago,75,CL,1553756302,100,-33.44,-70.65,61.0,8.05
jalu,36,LY,1553756333,35,29.03,21.55,66.23,14.67
longyearbyen,75,NO,1553752200,67,78.22,15.63,21.2,28.86
maudaha,0,IN,1553756334,24,25.68,80.11,93.86,4.72
clyde river,40,CA,1553755620,83,70.47,-68.59,-9.41,3.36
vicente guerrero,0,MX,1553756335,90,16.93,-96.7,42.65,2.15
mangan,0,IN,1553756335,51,27.5,88.54,44.36,0.81
roma,0,IT,1553756132,79,41.89,12.48,54.0,5.82
ponta do sol,100,BR,1553756336,58,-20.63,-46.0,74.42,8.63
tiksi,8,RU,1553756336,68,71.64,128.87,15.65,14.12
chara,75,GR,1553755400,66,39.42,22.43,53.6,18.34
richmond,75,CA,1553756108,66,49.16,-123.14,51.01,4.7
mount gambier,40,AU,1553752800,49,-37.83,140.78,73.4,12.75
sechura,56,PE,1553756337,83,-5.56,-80.82,73.52,9.19
codrington,90,AU,1553756130,61,-28.95,153.24,77.0,14.99
talnakh,92,RU,1553756338,99,69.49,88.39,27.8,13.0
san carlos de bariloche,0,AR,1553752800,81,-41.13,-71.31,44.6,5.82
kenai,1,US,1553756224,69,60.55,-151.26,41.0,4.7
new norfolk,0,AU,1553755575,40,-42.78,147.06,73.0,12.75
batagay-alyta,0,RU,1553756339,71,67.8,130.41,17.81,4.16
trinidad,0,UY,1553756339,80,-33.52,-56.9,56.78,9.98
lagoa,0,PT,1553756242,58,37.14,-8.45,55.4,16.11
ponnani,20,IN,1553754600,88,10.77,75.93,77.0,6.93
sydney,75,AU,1553756062,47,-33.85,151.22,80.01,17.22
atar,0,MR,1553756341,55,20.52,-13.05,49.58,2.37
khatanga,12,RU,1553756341,88,71.98,102.47,26.63,16.8
mugur-aksy,0,RU,1553756342,66,50.38,90.44,26.54,4.16
bereda,0,ES,1553756339,65,43.27,-7.54,51.01,2.59
cidreira,64,BR,1553756342,75,-30.17,-50.22,69.2,11.77
ust-maya,20,RU,1553756343,53,60.42,134.54,19.07,3.71
vrangel,24,RU,1553756343,93,42.73,133.08,36.8,18.37
sharjah,0,AE,1553752800,68,25.36,55.39,75.2,11.41
sitka,0,US,1553755548,74,37.17,-99.65,62.01,11.01
puerto asis,92,CO,1553756344,100,0.51,-76.5,72.71,2.26
vila do maio,40,CV,1553752800,72,15.13,-23.22,66.2,6.93
faanui,80,PF,1553756344,98,-16.48,-151.75,85.58,3.94
muyezerskiy,32,RU,1553756345,75,63.93,31.65,27.53,5.61
port elizabeth,1,US,1553756327,92,39.31,-74.98,37.99,3.27
wajima,40,JP,1553752800,39,37.4,136.9,44.6,5.82
bathsheba,75,BB,1553752800,73,13.22,-59.52,77.0,16.11
pathein,8,MM,1553756346,45,16.78,94.73,93.95,9.64
qeshm,40,IR,1553754600,74,26.96,56.27,78.8,6.93
baghdad,0,IQ,1553752800,62,33.3,44.38,59.0,12.75
boa vista,0,BR,1553752800,61,2.82,-60.67,82.4,8.05
tabou,0,CI,1553756349,97,4.42,-7.36,83.6,4.72
hithadhoo,48,MV,1553756349,100,-0.6,73.08,82.25,3.49
talaya,40,RU,1553756115,60,55.79,84.89,41.0,6.71
finschhafen,56,PG,1553756350,81,-6.6,147.85,81.17,3.27
pevek,88,RU,1553755788,82,69.7,170.27,7.55,18.37
souillac,0,FR,1553756229,86,45.6,-0.6,43.0,5.82
conde,36,BR,1553756197,95,-11.81,-37.61,78.83,5.17
port lincoln,32,AU,1553756351,74,-34.72,135.86,71.72,13.78
north bend,20,US,1553756129,87,43.41,-124.22,46.99,5.82
margate,20,AU,1553756295,40,-43.03,147.26,72.0,9.17
itubera,48,BR,1553756351,97,-13.73,-39.15,78.02,4.83
ribeira grande,12,PT,1553755788,100,38.52,-28.7,57.68,13.44
alofi,12,NU,1553752800,94,-19.06,-169.92,78.8,2.24
malanje,68,AO,1553756352,96,-9.54,16.35,65.87,4.16
grindavik,75,IS,1553754600,92,63.84,-22.43,30.2,24.16
le port,0,FR,1553756298,45,42.87,1.37,43.0,1.59
te anau,0,NZ,1553756354,59,-45.41,167.72,59.48,1.36
kingaroy,75,AU,1553755816,78,-26.54,151.84,71.6,12.75
mugango,75,TZ,1553752800,83,-1.69,33.7,73.4,4.61
rudnogorsk,76,RU,1553756354,66,57.27,103.75,29.96,3.71
shemursha,92,RU,1553756355,97,54.89,47.52,32.39,6.17
iracoubo,92,GF,1553756355,77,5.48,-53.21,78.2,5.39
port hardy,5,CA,1553752800,93,50.7,-127.42,35.6,3.36
yar-sale,12,RU,1553756356,94,66.83,70.83,24.65,10.65
moville,1,US,1553755604,81,42.49,-96.07,48.2,13.87
tomatlan,0,MX,1553756356,87,19.93,-105.25,63.98,1.92
kloulklubed,75,PW,1553755800,66,7.04,134.26,84.2,12.75
otavi,92,NA,1553756357,33,-19.64,17.34,78.2,10.54
barrow,0,AR,1553756358,89,-38.31,-60.23,55.7,14.9
koulamoutou,8,GA,1553756358,92,-1.13,12.47,74.33,2.59
klaksvik,76,FO,1553754000,87,62.23,-6.59,46.4,12.75
whitehorse,20,CA,1553756100,55,60.72,-135.06,33.8,4.7
saint-philippe,1,CA,1553756311,32,45.36,-73.48,37.4,8.05
airai,92,TL,1553756359,80,-8.93,125.41,77.12,2.15
chemax,0,MX,1553756360,62,20.66,-87.94,69.74,7.63
kokopo,0,PG,1553756360,94,-4.34,152.27,83.87,8.75
zeya,44,RU,1553756361,40,53.74,127.27,20.42,4.27
dunedin,0,NZ,1553756179,74,-45.87,170.5,57.0,8.99
taoudenni,0,ML,1553756361,68,22.68,-3.98,58.94,2.82
makakilo city,1,US,1553756290,73,21.35,-158.09,75.2,10.29
komsomolskiy,76,RU,1553756362,94,67.55,63.78,24.02,14.79
san rafael,8,AR,1553756363,78,-34.61,-68.33,56.15,7.4
rocha,0,UY,1553756363,87,-34.48,-54.34,51.38,4.94
tanout,0,NE,1553756363,28,14.97,8.88,66.5,8.52
los llanos de aridane,0,ES,1553756160,77,28.66,-17.92,60.8,4.7
prudyanka,0,UA,1553754600,64,50.24,36.17,35.6,6.71
tromso,75,NO,1553755777,86,69.65,18.96,39.2,23.04
ugoofaaru,0,MV,1553756364,100,5.67,73.0,84.14,7.18
menongue,64,AO,1553756365,86,-14.66,17.68,65.87,2.71
valleyview,0,CA,1553756365,74,55.07,-117.28,25.37,3.6
bredasdorp,36,ZA,1553755577,77,-34.53,20.04,66.2,8.05
mecca,0,SA,1553756366,23,21.43,39.83,71.9,4.5
newport,12,GB,1553756347,86,51.59,-3.0,39.99,6.93
hay river,75,CA,1553752800,69,60.82,-115.79,33.8,5.82
tautira,40,PF,1553755942,78,-17.73,-149.15,80.6,3.36
alice springs,0,AU,1553754600,12,-23.7,133.88,87.8,10.29
tiznit,76,MA,1553756293,96,29.7,-9.73,54.17,2.93
kurilsk,0,RU,1553756368,96,45.23,147.88,25.1,22.39
saint marys,1,US,1553756345,40,41.43,-78.56,37.4,3.36
severnoye,24,RU,1553756369,98,54.09,52.54,32.03,7.52
mokrousovo,20,RU,1553756369,93,55.81,66.77,36.44,7.4
arbagar,44,RU,1553756369,24,51.94,116.28,32.3,9.42
nieuwpoort,75,BE,1553756332,93,51.13,2.75,48.0,1.12
savannah bight,92,HN,1553756370,95,16.45,-85.85,80.09,11.65
daru,88,SL,1553756370,94,7.99,-10.85,72.26,2.71
isangel,40,VU,1553752800,62,-19.55,169.27,86.0,13.87
nikolskoye,40,RU,1553756171,74,59.7,30.79,37.0,8.95
mandalgovi,56,MN,1553756305,70,45.76,106.27,36.71,15.46
la asuncion,92,EC,1553756371,99,-1.64,-78.74,47.51,2.15
harper,40,US,1553756366,82,30.3,-99.24,61.0,9.17
sept-iles,75,CA,1553755559,78,50.2,-66.38,17.01,5.82
bay roberts,5,CA,1553755599,78,47.58,-53.28,16.0,4.7
shingu,75,JP,1553752800,67,33.72,135.99,60.8,9.17
coihaique,90,CL,1553752800,61,-45.58,-72.07,46.4,5.82
anzio,0,IT,1553756343,93,41.45,12.63,54.0,5.82
camacha,75,PT,1553754600,87,33.08,-16.33,60.8,3.36
broken hill,0,AU,1553752800,15,-31.97,141.45,82.4,9.17
chunskiy,8,RU,1553756374,47,56.08,99.63,36.44,3.38
purpe,0,RU,1553756375,95,64.48,76.69,30.68,10.2
ilulissat,68,GL,1553752200,65,69.22,-51.1,8.6,16.11
shu,92,KZ,1553756375,50,43.6,73.76,66.32,9.42
katherine,40,AU,1553754600,36,-14.47,132.26,93.2,4.7
birao,12,CF,1553756376,24,10.3,22.78,74.87,13.44
pacific grove,1,US,1553756226,93,36.62,-121.92,54.0,5.17
peniche,20,PT,1553756142,87,39.36,-9.38,52.0,5.82
araouane,68,ML,1553756376,67,18.9,-3.53,74.15,3.94
husavik,32,CA,1553756128,85,50.56,-96.99,36.0,10.0
tombouctou,8,ML,1553756377,75,16.77,-3.01,71.09,2.93
mangrol,20,IN,1553752800,26,25.33,76.51,95.0,1.12
vanimo,64,PG,1553756378,100,-2.67,141.3,82.88,7.96
ndioum,32,SN,1553756378,59,16.51,-14.65,65.33,9.19
oslob,40,PH,1553752800,70,9.52,123.43,86.0,9.17
beringovskiy,0,RU,1553756378,86,63.05,179.32,22.22,10.09
polur,0,IN,1553756379,31,12.51,79.13,93.41,5.17
eureka,75,US,1553756120,100,40.8,-124.16,51.8,14.99
juba,44,EE,1553756296,74,57.82,26.93,37.99,12.75
sattahip,20,TH,1553754600,59,12.67,100.9,89.6,16.11
port hedland,0,AU,1553754600,63,-20.31,118.58,93.2,14.99
adrar,0,DZ,1553752800,67,27.87,-0.29,59.0,6.93
torres,92,BR,1553756380,100,-29.34,-49.73,67.94,7.52
karratha,0,AU,1553756284,67,-20.74,116.85,91.7,5.39
termoli,68,IT,1553756132,10,42.0,14.99,52.0,5.99
berlevag,90,NO,1553752200,100,70.86,29.09,32.0,29.97
nautla,76,MX,1553756381,100,20.22,-96.78,73.52,7.63
mayo,90,CA,1553752800,74,63.59,-135.9,35.6,3.36
mogadishu,75,SO,1553752800,66,2.04,45.34,86.0,6.93
vila franca do campo,20,PT,1553756365,76,37.72,-25.43,55.4,10.29
marawi,92,PH,1553755568,85,8.0,124.29,81.0,8.99
wawa,8,NG,1553756383,66,9.9,4.41,69.38,2.82
hinatuan,76,PH,1553756383,100,8.37,126.34,80.63,11.65
kawalu,24,ID,1553756383,95,-7.38,108.21,74.96,2.82
skelleftea,0,SE,1553755987,74,64.75,20.95,42.01,11.41
arman,0,RU,1553756384,57,59.7,150.17,18.89,10.54
mehamn,90,NO,1553752200,87,71.03,27.85,32.0,33.33
muroto,75,JP,1553752800,59,33.37,134.14,64.4,8.05
xingcheng,56,CN,1553756385,26,40.62,120.71,47.15,4.16
nizhniy tsasuchey,64,RU,1553756385,39,50.52,115.13,32.21,8.08
haines junction,0,CA,1553756385,80,60.75,-137.51,20.24,2.15
sierre,0,CH,1553756384,74,46.29,7.53,37.99,1.12
inverness,40,GB,1553756105,81,57.48,-4.23,52.0,20.8
dalbandin,44,PK,1553756386,67,28.9,64.41,75.32,4.38
banyuwangi,32,ID,1553756386,84,-8.21,114.37,84.32,3.6
trairi,88,BR,1553756386,100,-3.28,-39.27,78.74,5.73
bay city,90,US,1553756244,49,43.59,-83.89,50.0,12.75
leningradskiy,76,RU,1553756387,86,69.38,178.42,17.72,22.06
tirumullaivasal,0,IN,1553756387,69,11.24,79.84,88.37,4.38
solano,36,PH,1553756388,44,16.52,121.18,84.68,4.05
kasama,92,ZM,1553756388,98,-10.21,31.19,66.86,6.17
yerbogachen,56,RU,1553756388,70,61.28,108.01,32.57,3.83
galle,75,US,1553756383,87,29.74,-97.91,61.0,5.82
kaohsiung,75,TW,1553755594,66,22.62,120.31,84.2,12.75
praia da vitoria,75,PT,1553755512,62,38.73,-27.07,59.0,14.0
zemio,24,CF,1553756389,91,5.02,25.13,72.98,3.71
luderitz,0,NA,1553756390,94,-26.65,15.16,58.49,9.08
saint-augustin,0,FR,1553756229,80,44.83,-0.61,43.0,3.36
chepareria,64,KE,1553756390,85,1.32,35.2,63.71,1.92
port macquarie,80,AU,1553756105,53,-31.43,152.91,75.2,10.29
tuatapere,0,NZ,1553755807,74,-46.13,167.69,57.99,5.95
zimovniki,88,RU,1553756391,87,47.15,42.46,38.69,18.25
narsaq,20,GL,1553752200,52,60.91,-46.05,15.8,18.34
saint-pierre,8,FR,1553756225,75,48.95,4.24,37.0,8.05
qandala,8,SO,1553756392,58,11.47,49.87,79.1,2.93
leeston,0,NZ,1553756284,71,-43.76,172.3,60.01,11.41
troyes,0,FR,1553755509,81,48.3,4.07,33.8,5.82
salcaja,24,GT,1553756393,89,14.88,-91.45,43.1,2.15
bagdarin,48,RU,1553756393,22,54.44,113.59,24.11,5.28
fort walton beach,1,US,1553756166,41,30.41,-86.62,60.01,8.05
goundam,32,ML,1553756394,68,16.42,-3.66,74.42,4.38
sandviken,0,SE,1553756345,53,60.62,16.77,44.01,4.0
gurjaani,20,GE,1553754600,53,41.75,45.79,50.0,24.16
genhe,68,CN,1553756395,56,50.78,121.52,22.31,4.05
vicosa,12,BR,1553756103,99,-20.75,-42.88,70.0,4.72
xichang,80,CN,1553756395,23,27.88,102.25,66.14,1.48
saint george,75,GR,1553755400,66,39.45,22.34,53.6,18.34
hays,1,US,1553755648,82,38.88,-99.33,59.0,10.29
nombre de dios,12,MX,1553755817,35,23.85,-104.24,62.01,7.0
floro,75,NO,1553756389,93,61.6,5.03,48.2,19.46
senanga,8,ZM,1553756397,49,-16.1,23.3,77.3,13.33
farafangana,56,MG,1553756398,100,-22.82,47.83,78.11,10.65
alexandria,1,US,1553755831,81,31.31,-92.44,48.99,3.36
loa janan,44,ID,1553756398,84,-0.58,117.09,83.42,2.59
luanda,40,AO,1553752800,88,-8.83,13.24,80.6,4.7
minas,0,UY,1553752800,87,-34.38,-55.24,55.4,6.73
beihai,40,CN,1553754600,24,38.95,121.19,46.4,8.95
nome,1,US,1553756347,93,30.04,-94.42,57.0,5.39
uyuni,92,BO,1553756401,96,-20.46,-66.82,39.68,3.6
ayan,12,TR,1553756402,69,40.67,33.6,33.29,3.15
belaya gora,0,RU,1553756405,81,68.54,146.19,10.16,5.17
ostrovnoy,8,RU,1553756411,87,68.05,39.51,25.37,15.35
deputatskiy,0,RU,1553756413,74,69.3,139.9,10.7,3.94
kruisfontein,48,ZA,1553756413,85,-34.0,24.73,62.9,11.88
henties bay,64,NA,1553752934,93,-22.12,14.28,62.01,3.0
tilichiki,20,RU,1553756414,80,60.47,166.1,17.72,2.71
waipawa,64,NZ,1553754737,76,-39.94,176.59,59.0,1.99
hasaki,75,JP,1553756076,62,35.73,140.83,57.2,6.93
gimli,32,CA,1553756406,85,50.63,-96.99,36.0,7.0
cabo san lucas,40,MX,1553756144,27,22.89,-109.91,66.0,4.7
kishanganj,8,IN,1553756419,51,26.1,87.95,82.88,7.74
mandali,0,IQ,1553756421,99,33.75,45.55,57.41,5.28
dalianwan,40,CN,1553754600,24,39.03,121.69,46.4,8.95
paita,48,PE,1553756424,78,-5.09,-81.11,72.98,4.16
namibe,12,AO,1553756424,98,-15.19,12.15,78.02,6.29
vao,0,EE,1553756425,90,59.1,26.19,28.16,5.39
plauen,75,DE,1553756425,93,50.5,12.13,45.0,4.7
bijie,32,CN,1553756425,68,27.3,105.3,64.43,4.61
lalganj,0,IN,1553754600,40,26.17,80.97,86.0,3.36
miramar,0,CR,1553756412,56,10.09,-84.73,69.8,19.46
calvinia,0,ZA,1553754600,55,-31.47,19.78,60.8,3.36
general pico,0,AR,1553756428,66,-35.66,-63.75,61.1,12.66
carballo,0,ES,1553756408,65,43.21,-8.69,52.0,3.94
talara,48,PE,1553756229,78,-4.58,-81.27,72.98,4.16
farsund,88,NO,1553756133,91,58.09,6.8,46.0,5.01
kedrovyy,0,RU,1553754600,38,56.17,91.82,42.8,13.42
uray,64,RU,1553756429,87,60.13,64.8,38.24,6.06
saldanha,0,PT,1553756429,54,41.42,-6.55,39.5,9.64
honiara,64,SB,1553756430,74,-9.43,159.96,83.15,1.25
toppenish,90,US,1553756424,86,46.38,-120.31,46.99,4.7
nueva helvecia,0,UY,1553755569,91,-34.28,-57.23,54.0,9.19
talagang,0,PK,1553756431,59,32.92,72.41,78.56,6.96
taltal,0,CL,1553756431,85,-25.41,-70.49,52.73,3.83
san pedro carcha,76,GT,1553756431,100,15.48,-90.31,62.99,0.69
terney,0,RU,1553756431,84,45.05,136.61,31.04,15.23
tres passos,20,BR,1553756432,78,-27.46,-53.93,67.76,12.33
dera ghazi khan,0,PK,1553756428,56,30.03,70.64,85.4,8.08
ilukste,0,LV,1553756432,72,55.98,26.3,27.71,2.93
walvis bay,75,NA,1553752934,77,-22.95,14.51,62.6,3.36
sao felix do xingu,48,BR,1553756272,100,-6.64,-51.99,72.35,2.15
porto belo,75,BR,1553756405,88,-27.15,-48.54,73.99,5.82
loviisa,0,FI,1553756255,92,60.46,26.23,36.0,4.7
buchanan,20,LR,1553752800,94,5.88,-10.05,73.4,5.39
rovaniemi,75,FI,1553754000,83,66.5,25.72,32.0,24.16
havoysund,75,NO,1553754000,69,71.0,24.66,35.6,31.09
novska,0,HR,1553754600,80,45.34,16.98,39.2,4.7
letlhakane,8,BW,1553756435,73,-21.42,25.59,69.83,12.55
radomsko,92,PL,1553756425,88,51.07,19.44,43.0,9.19
kibala,0,TD,1553752800,69,9.11,18.35,80.6,8.19
atherton,80,GB,1553756433,88,53.52,-2.49,46.4,2.24
yeppoon,75,AU,1553754600,78,-23.13,150.74,78.8,12.75
kutum,8,SD,1553756437,18,14.2,24.66,64.88,10.09
paso de los toros,0,UY,1553756437,82,-32.81,-56.52,59.12,11.99
stuttgart,0,DE,1553756243,74,48.78,9.18,43.0,1.12
sinnamary,92,GF,1553756438,93,5.38,-52.96,80.18,12.66
padang,56,ID,1553756438,100,-0.92,100.36,82.88,3.83
almeirim,20,PT,1553756430,87,39.21,-8.63,52.0,5.82
carutapera,76,BR,1553756439,96,-1.2,-46.02,78.02,4.94
nacala,12,MZ,1553756439,99,-14.56,40.69,80.45,9.64
rincon,1,US,1553756407,65,32.3,-81.24,54.0,3.36
derzhavinsk,92,KZ,1553756440,100,51.1,66.31,38.87,22.73
gizo,20,IL,1553756407,67,31.8,34.94,64.99,8.05
natal,40,BR,1553752800,88,-5.81,-35.21,77.0,8.05
mitu,88,IR,1553756441,88,36.2,46.09,39.05,3.71
granja,64,BR,1553756441,95,-3.12,-40.83,75.68,4.94
harer,40,US,1553756407,64,42.19,-111.17,39.99,7.74
cockburn town,92,TC,1553756209,100,21.46,-71.14,75.86,7.4
bonthe,48,SL,1553756442,92,7.53,-12.5,79.01,3.49
kavieng,64,PG,1553756443,100,-2.57,150.8,84.41,10.65
semenivka,0,UA,1553756443,68,52.18,32.58,28.25,4.72
lata,12,IN,1553756443,68,30.78,78.62,61.82,1.59
